질문,답변
새벽시간에 차도 없는데 지켜보던 경찰차가 벌금내라고 주고갔는데 억울합니다.,
,
,
납입을 혹시 신용카드로 해도 되나요?,네. 가능합니다. 
카드납부를 가족 카드로 할 건데 벌금 받은 당사자도 같이 가야하나요?,벌금 납부 대상자 및 카드 소지자가 함께 검찰청에 가야 카드로 벌금을 납부할 수 있습니다.
따로 필요한 게 있나요?,납부지로나 벌금교부증과 신분증을 준비하셔야합니다.
,
주차위반벌금 문의드립니다 ,네. 구체적으로 말씀해주시겠어요? 
납입을 혹시 신용카드로 해도 되나요?,현재 신용카드 납입은 불가능합니다. 
그럼 자동이체만 해야하는거에요?,네. 그렇습니다. 
자동이체로 하면 무슨 혜택이 있나요?,네. 할인혜택이 적용되고 있습니다. 
얼마나요?,납입비의 1프로 입니다. 
아. 네 알겠어요. ,
네. 보험증권을 다시 받을 수 있나요?,네. 가능합니다. 
어디서 받아야죠?,당사 홈페이지 증명서발급에서 신청 가능합니다. 
이메일로 발송 되는거죠?,네. 이메일으로 발송 해드립니다. 
그 날 받아볼 수 있나요?,네. 당일에 발송해드립니다. 
쓰레기 무단투기에대해 문의드립니다,"네, 무엇을 도와드릴까요?"
주차장에서 차버닥에 커피랑 기저귀같은 것을 여러 번 버리고 가는것을 목격해서요.,
,
,
,
,
,
,
,
,
음주운전 에 대해 문의하고 싶은데요.,네 무엇을 도와드릴까요?
친구가 음주운전으로 걸렸는데 이의 신청 할 수 있나해서요,음주운전 전력이 있습니까?
아니요. 처음이에요.,음주수치가 어떻게 됐나요?
0.06%에요.,
,
,
,
,
,
,
다둥이카드좀 상담받을 수 있을까요?,네 무엇을 도와드릴까요?
일단 신청 조건이 뭔가요?,만19세 이상의 서울특별시에 거주하고 2자녀 이상 가정으로 막내가 만 13세이하인 개인회원이면 가능하십니다.
막내아이가 만13세인데 해당되는거네요?,네 
그럼 구비서류가 있나요?,신분증과 다둥이 가족확인 서류 주민등록등본 또는 호적등본입니다.
다른 카드처럼 연회비를 내야하나요?,연회비는 평생 면제입니다. 단 신용카드 표준약관 변경시 연회비가 부과될 수 있습니다.
어디서 발급받나요?,가까운 우리은행을 방문하시면 됩니다.
그럼 혜택이 어떤게 있나요?,"대표적으로 주유할인, 영화티켓할인, 놀이공원할인, 통신 외에 병원 , 학원 등에서도 할인가능합니다."
주차비할인된다들었는데 아니에요?,공영주차장 이용시 3자녀 50%할인 2자녀 30%할인입니다.
꼭 우리카드 가서 발급받아야 되나요?,우리은행 연락하셔서 상담받으시고 Fax로 필요서류 보내시거나 홈페이지 sccd.wooribank.com접속하셔서 카드정보 선택 본인인증및 신청정보입력하셔서 신청하실 수 있습니다.
교통카드도 넣을 수 있는거에요?,"네, 후불 교통카드 신청가능하십니다."
윤창호법에 대해 문의하고 싶은데요.,네 무엇을 도와드릴까요?
그 법이 무슨 법이인가요?,음주운전으로 인명피해를 낸 운전자에 대한 처벌수위를 높이는 법입니다.
법명이 궁금한데요.,특정범죄 가중처벌 등에관한 법률(특가법)개정안'을 담은 '도로교통법 개정안'입니다. 
그법이 왜 생긴건가요?,음주운전 사고를 당해 숨진 휸창호 씨 사망 사건을 계기로 마련된 법안입니다. 
그러면 음주운전 처벌이 강화된 건가요?,그렇습니다. 
어떻게 바뀌었나요?,음주운전으로 사망사고를 낸 경우 법정형을 '현행 1년 이상의 유기징역'에서 '3년 이상의 징역 또는 무기징역'으로 높였습니다. 또 사람을 다치게 했을 때도 기존 '10년 이하의 징역 또는 500만원 이상 3000만원 이하의 벌금'에서 '1년 이상 15년 이하의 징역 또는 1000만원 이상 3000만원 이하의 벌금'으로 형량을 강화했습니다.
그러한 강화 방안은 언제부터 시행되었나요?,이러한 강화 방안은 2018년 12월 18일부터 시행됐습니다.
음주운전 기준도 강화되었나요?,네. 강화되었습니다.
어떻게 강화되었나요?,"국회는 2018년 12월 7일 음주운전 2회 이상 적발 시 징역 2~5년 또는 벌금 1000만~2000만 원으로 처벌을 강화하는 내용의 '도로교통법 개정안'을 통과시켰는데요, 이전까지는 3회 이상 적발 시 징역 1~3년 또는 벌금 500만원~1000만 원에 처했었습니다. 해당 개정안은 2019년 6월 25일부터 시행되었습니다."
또 바뀐 게 있나요?,"또 운전면허 정지/취소 등에 관한 단속 기준도 강화해 음주운전의 면허정지 기준을 혈중알코올농도 0.05% 이상에서 0.03% 이상으로, 면허취소 기준은 0.10% 이상에서 0.08% 이사으로 정했습니다. 아울러, 종전 음주운전 3회 적발 시 면허취소가 됐던 것 역시 2회로 강화되었습니다."
장애인주차구역 위반 궁금합니다.,
아파트 장애인주차구역에 잠깐 주차해서 벌금이부과된것같아요.,
,선생님 차량번호가 어떻게 되시나요?
000가 0000입니다.,네 담당 부서로 연결처리해드렸습니다.
,
납입을 혹시 신용카드로 해도 되나요?,현재 신용카드 납입은 가능합니다. 
00카드 있는데 그럼 되는 거네요?,네. 그렇습니다. 
전화로는 되나요?,ARS.납부 가능하십니다. 
안내전화가 따로있나요?,네 세외수입 자동안내시스템이 있습니다.OOOO-OOOO입니다.
,
갓길 주차위반 궁금합니다.,네. 구체적으로 말씀해주시겠어요? 
오후마다 집앞 도로변에 차들이 무단주차되서요.,장시간 주차되있는 것인가요?
주차를 주차장에 안하고 매일 갓길에 쭉 대네요.차들이 피해다니고 위험해서요.,
,신고하실 지역이 어디신가요?
내발산동 00아파트 옆 도로변이요.,내발산동 00길 00로 말씀이신가요?
네 맞습니다.,
매번 여기 대는것 같은데 단지 미관상 나쁜데요.,
,서울스마트불편신고앱을 다운받으셔서 안내대로 진행하시면 됩니다.
그건 어디서 다운받아요?,스마트폰 플레이스토어나  앱스토어를 통해 다운받으시면 됩니다.
간단히 신고방법좀 알려주실래요?,앱실행후 과태료 부과요청 클릭 다음 위반사항선택 다음 위반한 지역주변과 자전거 식별가능한 사진2장을 첨부하시면 됩니다. 또한 120번 다산콜센터에서도 신고받고있습니다.
증여세관해 문의할 수 있을까요?,네. 무엇을 도와드릴까요?
납입을 혹시 신용카드로 해도 되나요?,현재 신용카드납부가능하십니다. 
신청방법좀 알려주시겠어요?,네. 카드로택스를 이용하거나 세무서를 방문하여 신청하실수 있습니다.
카드로 하면 무슨 혜택이 있나요?,네. 카드로 세금납부를 하실경우 혜택보다는 납부대행 수수료가 있습니다.
얼마나요?,"신용카드는 납부세액의 0.8%, 체크카드는 납부세액의 0.5%가 추가로 붙습니다."
할부가 될까요?,카드사별로 무이자할부를 신청하실 수 있습니다.
그럼 아무 신용카드든 사용하면 되요?,"사업자 신용카드는 본인의 신용카드, 체크카드를 홈택스에 등록하고 사업과 연관성있게 사용하면 사업자 신용카드가 되는것입니다."
아 그럼 포인트도 사용할 수 있어요?,네 신용카드및 포인트납부가능합니다.
그럼 다른 납부방법이 있어요?,전국 모든 금융기관CD/ATM기에서 조회 납부가능합니다.
인터넷도 되나요?,네. www.OOOO.go.kr또는 WWW.OOOO.or.kr에서 본인확인후 가능하십니다.
상속세관련 궁금합니다,네. 무엇을 도와드릴까요?
납입을 혹시 신용카드로 해도 되나요?,현재 신용카드납부가능하십니다. 
신청방법좀 알려주시겠어요?,네. 카드로택스를 이용하거나 세무서를 방문하여 신청하실수 있습니다.
카드로 하면 무슨 혜택이 있나요?,네. 카드로 세금납부를 하실경우 혜택보다는 납부대행 수수료가 있습니다.
얼마나요?,"신용카드는 납부세액의 0.8%, 체크카드는 납부세액의 0.5%가 추가로 붙습니다."
할부가 될까요?,카드사별로 무이자할부를 신청하실 수 있습니다.
그럼 아무 신용카드든 사용하면 되요?,"사업자 신용카드는 본인의 신용카드, 체크카드를 홈택스에 등록하고 사업과 연관성있게 사용하면 사업자 신용카드가 되는것입니다."
아 그럼 포인트도 사용할 수 있어요?,네 신용카드및 포인트납부가능합니다.
그럼 다른 납부방법이 있어요?,전국 모든 금융기관CD/ATM기에서 조회 납부가능합니다.
인터넷도 되나요?,네. www.OOOO.go.kr또는 WWW.OOOO.or.kr에서 본인확인후 가능하십니다.
일자리 관련 문의하고 싶은데요,고객님 본인께서 일자리를 찾고 계신거죠?
네,
,여성새로일하기센터에 구직 등록하셨나요?
아니요 ,
,
,
,
,
,
,
계량기 교체 관련하여 문의 드립니다.,"네, 어떤 것을 도와드릴까요?"
수도계량기가 고장 난 것 같습니다.,어떤 부분이 고장 났나요?
지침이 정상적이지 않은 것 같습니다.,
,거주지가 어디신가요?
서울시 마포구 노고산동입니다.,"서부수도사업소에 방문하시거나 인터넷, 전화, 팩스를 이용하셔서 접수하시면 됩니다."
서부수도사업소가 어디에 있나요?,서부수도사업소의 주소는 서울 000구 00로OO길 OO입니다. 00동에 있습니다.
홍제동이면 거주지에서 너무 머네요.,마포구 아현동에 서부수도사업소 민원센터가 있습니다.
거기는 가깝네요. 그곳에 방문하여 접수하면 될까요?,방문 전에 서부수도사업소로 전화해서 확인해보시는 게 좋을 것 같습니다.
전화번호를 알려주세요.,"네, 서부수도사업소 전화번호는 OO-OOOO-OOOO입니다."
지침이 고장 난 경우라면 수도요금은 어떻게 되나요?,계량기 지침이 비정상일 경우에는 새 계량기 사용량을 일자 계산하여 사용량을 추정 산출한 후 요금을 조정합니다.
한파로 인해 파손된 계량기교체 문의합니다.,네. 어떻게 도와드릴까요?
교체비용이 궁금합니다.,고장사유에 따라 비용청구가 다릅니다.
,
,
,어떤 방법으로 안내 도와드릴까요?
가깝다면 방문할게요.,현재 거주지가 어디신가요? 구까지만 말씀해주셔도 됩니다.
동대문구요.,동부 수도사업소에 방문하시면 됩니다.
동부 수도사업소 위치가 어딘가요?,서울시 00구 000로 OO길 OO입니다. 0000동 이네요.
전화도 되나요? 번호 좀 알려주세요.,동부 수도사업소 전화번호는 OO-OOOO-OOOO 입니다.
방문할 때 필요한 게 있을까요?,보다 확실한 안내는 동부 수도사업소에 전화하셔서 안내받으시면 좋을 것 같습니다.
주민등록등본이 필요한데요.,
,
,
,
주민등록등본도 팩스로 받을 수 있나요?,주민등록등본을 발급하여 팩스로 전송하는 업무는 없습니다.
그럼 주민센터를 가거나 온라인으로 발급받아야 하네요?,네. 그렇습니다.
주민등록등본을 영문으로 발급 받을 수 있나요?,네. 가능합니다.
,
,주민등록등본 코너의 화면 상단에 영문 단추를 누르시면 됩니다.
,
수고가 많으세요~~,네. 안녕하세요.
문화지원카드 지원해주고 있잖아요?,네. 다산시에서 지원하는 정책입니다.
문화지원카드 지원받은 거 다쓰면 충전가능한가요?,"네, 충전 가능하답니다."
카드 뒷면 가상계좌로 입금하면 되나요?,네. 가상계좌로 입금하시면 됩니다.
상대업무 개시이전이라고 나오는데요?,확인해드릴께요.
,
,문화지원카드 충전가능시간은 09시~18시입니다.
충전가능시간이 따로 있었네요?,"네, 그렇습니다."
알겠어요.,
,
,
,
어떻게 해야 하나요?,사용중인 오토바이 폐지하시려는 거군요.
네. 오래돼서요.,
,
,
,
,
,구청에서 분실처리후 폐지처리 하실거에요.
그럼 끝인가요?,아니요. 추가 준비사항이 있습니다.
,
문화지원카드 사용하고 있어요.,
,
,"네, 그렇습니다."
알겠어요.,
,
,
,
,
,
,
제가 따던 오토바이 폐지하려고요.,
,
 폐지신고하려면 어디서 하나요?,관할 주소시 구청에서 하시면 됩니다.
페지신고할때 필요한 서류는요?,이륜차신고필증과 신분증 가지고 오셔야 합니다.
오토바이 신고필증이 꼭 필요한가요?,"네, 필요합니다."
제가 어디에 뒀는지 모르겠어요,"분실하셨다면, 구청에 가셔서 재발급 받으세요."
,
,
,
,
다산시에 난임부부 지원제도도 있나요?,네. 난임부부 수술비가 지원됩니다.
신청하면 받을 수 있는 건가요?,지원기준이 몇가지 있습니다.
어떤 기준인가요?,기준중위?소득수준?100%미만과 건강보험료에?따라?지원대상자?선정합니다
그외 자격조건도 있나요?,네 있습니다.
알려 주세요,"법적?혼인상태에?있거나,?최근?1년간?사실혼관계를?유지하고 있어야 합니다."
나이제한 같은 것도 있나요?,2019년붙터 나이제한은 폐지됐습니다.
제가 나이가 좀 있었는데 다행이네요.,
,어떤 시술을 생각하고 계시나요?
인공수정을 생각하고 있어요.,"인공수정은 최대 5회까지, 매회20만원씩 지원합니다."
준비 서류가 있나요?,구비서류가 좀 많습니다.
,
제 전화번호는OOOO-OOOO3420 입니다.,관련 서류 문자로 내용 보내드렸습니다.
감사합니다. 확인했습니다.,
,
,"전기, 도시가스, 지역난방, LPG, 연탄을 구입할 수 있는 지역상품권을 지급합니다"
지원금은 얼마나 해주는 거에요?,가구구성원 수에 따라 다릅니다.
,
,
,
신청은 어디에 하나요?,행정복지센타에 신청하시면 됩니다.
주민센터를 말하는 거지요?,네. 맞습니다.
인터넷으로는 안되나요?,네. 접수는 방문접수만 가능하세요.
,
제가 귀농을 생각하고 있어서 알아보고 있습니다.,
,
,
,신청분야별로 자격 요건에 차이가 있습니다.
귀농 자격은 어떻나요,신청 나이는 만60세 미만입니다.
60세가 넘으면 그것도 못하네요,또 최근 3년 이내에 영농경험이 없으셔야 합니다.
,
, 수업이수시에 수료증이 발급됩니다.
관리가 철저하네요.,
,
,
제가 직장맘이라서 오후에 아이가 혼자 있어요.,
,자녀분 나이가 어떻게 되나요?
"초등 1학년, 8살입니다.",8살이면 돌봄 대상입니다.
정부사업은 소득기준이 있던거 같던데 가능한가요?,돌봄사업은 소득과 관계가 없습니다.
소득 상관없이 맞벌이 부부이면 가능한 건가요?,네. 맞벌이와 자녀의 나이가 중요합니다.
정말 다행이네요.,지자체 상황에 따라 입소날짜는 달라질 수 있습니다.
바로 지원을 못 받을 수도 있네요,인원에 여유가 있으면 바로 지원 받을 수 있습니다.
제출서류가 있나요?,돌봄신청서와 맞벌이 증빙서류입니다.
맞벌이 증빙서류는 어떤거를 제출하면 되나요?,재직증명서 준비하시면 됩니다.
온라인 신청 가능할까요?,다산시 홈페이지에 신청하시면 됩니다.
감사합니다.,
출산장려금이 궁금해요,출산 예정일은 언제세요?
내년 3월이에요.,서진시에는 언제부터 거주하셨나요?
작년부터 살았어요.,
,
,
,둘째 출산때는 500만원으로 1년에 백만원씩 지급합니다.
,
지역화폐로 주는 건가요?,아닙니다. 현금 지급합니다.
온라인 신청가능 한가요?,주민센터에 직접방문하셔야합니다.
네. 알겠습니다.,
경기도는 그런 제도가 있나요?,지방자치단체마다 운영방식이 다릅니다
,
,
왜 안보이죠?,지역마다 설치 시기가 다릅니다.
설치 시점이 다른가요?,네. 주택가이면서 여성과 1인세대가 많은 지역부터 시행합니다.
아.. 그랬군요.,
,
,많이 미흡하지만 보완해나갈 예정입니다
확대 계획도 있을까요?,범죄예방과 차원에서 확대예정입니다.
좀 가까운 곳에 많이 설치되면 좋겠어요.,
지금 인구주택 총조사 기간이 맞나요?,네. 맞습니다.
우리집은 연락이 없는데요?,11월 30일까지 인구주택 총조사 기간입니다.
,
그럼 누가 조사대상인 거에요?,전체 가구의 20%만 조사합니다.
,
,우편물로 발송했습니다.
사람이 직접 방문한다고 하던데요?,우편 조사가 안된 경우에 가구 방문조사를 진행합니다
코로나로 방문조사는 위험하지 않나요?,그래서 기간내 우편조사를 권장하고 있습니다.
이런 시기에 꼭 해야하는 건가요?,해마다 하는 국가 기본적인 통계조사입니다.
,
다만 하시는 분들이 불편할것 같네요.,
,
보건증이 필요해서 보건소를 가려고 하는데요.,
,보건증 발급에 필요한 검사를 받을 수 없습니다.
콜센터 선제검사 때문에 그런건가요?,네. 그렇습니다.
,
,
,하남 동아병원 아실까요?
네. 내과로 유명하더라던데요.,내과에 접수하시면서 보건증발급 때문에 오셨다고 말씀하시면 됩니다.
,"네, 가능합니다."
,
,
인구주택 총조사 대상자로 선정되었다고 연락을 받았는데요?,표본조사 대상자로 선정되셨네요.
,
,
언제까지 해면 되나요?,11월20일까지 입니다.
11월 말까지 아닌가요?,조사 마무리 안되신 분들 조사기간입니다.
11월 20일 이후에는 인터넷 참여는 안되는건가요?,네. 그 이후에는  방문조사만 가능합니다.
,
내용이 까다롭던데 내용을 모르면 넘어가도 되나요?,그렇게 참여하시면 다시 방문조사를 할 수 있습니다. 
조사내용이 다른곳에 쓰일 수도 있나요?,통계자료로만 쓰이고 폐기됩니다.
개인정보라서 조금은 걱정이 되네요.,성실한 답변 부탁드립니다.
그럴께요.,
이용하려면 어떻게 해야 하나요?,택배보관 서비스 이용에 대해 안내해드리겠습니다.
,
,
,무인택배함에 스크린에서 터치하시면 합니다.
그렇게 하면 되네요.,그후에 택배사로부터 받은 인증번호 입력하면 됩니다.
보관함 이용금액은요?,48시간 무료입니다.
48시간이 지나면요?,24시간이 지날때마다 1000원씩 부과됩니다.
모든 물건 다 사용 가능하나요?,신선식품과  음식물은 사용이 안됩니다.
부피가 큰거는요?,크기가 정해져 있어서  이용이 안될수있습니다.
제한은 좀 있네요.,
취득세가 궁금해서요.,말씀하세요.
부동산 취득시 세율은 어떻게 되나요?,구입예정이신 부동산이 주택이신가요?
아니요. 아파트에요,매입 예정 가격은 얼마인가요?
5억입니다.,6억 미만이시면 1% 입니다.
아파트 말고 다른 부동산은 몇프로예요?,매입할때는  4.0%이며 상속시 3%입니다.
부동산 취득시 신고납부 기한은요?,등록일이 취득일이라서  그날부터 60일 이내에 하셔야 합니다.
계약해지되면  취득세도 환불받을 수 있나요?,계약해제신고서를 취득일 60일이내에 제출하시면 환불가능합니다.
,
,
,
주민세를 납부한 것 같은데 고지서가 또 왔어요.,
,
,이번 고지서는 개인부과되는 주민세입니다.
사업장과 개인이 별도네요.,
,
,
,
,사업자는 5만원에서 50만원 사이입니다.
납부기간도 정해져 있겠죠?,매년 8월 16일~8월 31일까지 입니다.
주민세 납부내역과 체납도 확인 가능한가요?,텍스 홈페이지에서 언제든 조회와 납부 가능합니다.
주민세는 고지서로 은행에서만 납부해야 하나요?,스마트폰으로 간편결제 가능하세요.
이메일로도 고지서 받을수 있나요?,네 이메일을로도 고지서 수령 가능하십니다.
혹시 자동이체도 가능할까요?,네. 가능하십니다.
,
남양주시에 행사를 많이 하던데요?,네. 여러행사가 진행중에 있습니다.
,
,
문화제 기간은 언제인가요?,11월1일~11월20일 입니다.
장소는요?,다산박물관 주변에서 진행됩니다.
체험은 유료로 진행되나요?,무료 체험 가능합니다.
체험들 사전예약은요?,다산문화제 홈페이지에서 사전 예약 가능하세요.
문화제 기간동안 투어 차량도 운행 하나요?,네. 무료셔틀이 남양주역에서 출발합니다.
내용은 어떤 것들이 있을까요?,"퍼레이드, 역사해설, 전시 ,체험들 다양하게 준비되어 있습니다."
구리도 문화제에 포함되어 되어 있나요,남양주와 구리까지 연결하여 행사가 진행중입니다.
네 감사합니다.,
,국민건강증진을 위한 프로그램입니다.
고등학생도 프로그램 참여할 수 있나요?,네. 물론입니다.
제가 학생이지만 해보고 싶거든요.,
,그래도 보건소마다 상황이 다를수 있으니 문의해보세요.
직접 확인해 봐야 하겠네요,그렇게 하시기를 권해드립니다.
저는 어디 보건소로 가야하는거죠?,
남양주시 해양동 입니다.,해양동보건소가 가깝네요
,
,그래도 정확한 일정은 보건소로 문의바랍니다.
네. 알겠습니다.,꼭 참여하셔서 금연하시기 바랍니다
실학고등학교 시설을 이용하고 싶습니다.,무엇이 궁금하실까요?
예약방법을 알려주세요.,학교시설예약서비스가 온라인으로 운영되고 있습니다.
학교시설예약이라는 홈페이지가 있다는 거지요?,네. 그렇습니다.
접수 완료확인은 어떻게 하는지요?,사용신청서 작성후 등록 버튼 누리시면 학교 담당자에게 전달됩니다.
승인절차는요?,"온라인신청접수후, 적정여부검토가 이뤄지고 승인여부 문자가 발송됩니다."
승인까지는 얼마나 걸리나요?,접수이후 5일 이내 승인결정됩니다.
혹시 예약하고 취소도 가능한가요?,시작일 전일까지 취소나 연기가 가능합니다.
,
,
,
,
,
,
지원분야가 나눠져 있나요?,"네. 댄스, 노래, 난타, 풍물, 밴드 등입니다."
혹시 비공연 분야는 없나요?,아닙니다. 있습니다.
,
,
,
,
,
,
,
,
식당에서 일해야하는데 보건증을 받아오라고 하네요.,
,보건증은 이름이 건강진단결과소로 변경되었습니다.
다들 보건증이라고 하더라고요.,최근에 명칭이 변경 되었습니다.
신분증을 가져가야 하나요?,네. 그렇습니다.
검사도 하나요?,혈액검사와 대변검사가 진행됩니다.
그럼 공복으로 가야하나요?,큰 영향은 없습니다.
,
,
검사는 얼마나 걸릴까요?,1분당 20분이면 가능합니다.
,
여성동아리 활동도 지원이 있나요?,여성동아리 육성지원을 말씀하시는 거지요?
네. 그게 맞아요.,
,
,
,
,
,
,
,
,
,
예비부부를 위한 주택지원사업이  있나요?,지역이 어디신지 말씀해주세요
경기도 의왕입니다.,어떤 부분이 궁금하신가요?
주택구입시 대출지원이 있나해서요.,예비부부 보금자리론이 있습니다.
자세히 알려주세요,결혼예정일이 정해지셨나요?
6개월 뒤에 합니다.,두분이 맞벌이 하고 계신가요?
"네, 둘다 직장다닙니다.",두분 연봉 합산이 7500만원이 넘지 않으면 신청가능합니다
평수 제한이 있을까요?,전용면적 85가 넘지 않아야 합니다.
대출금리는 얼마나 되지요?,2% 입니다.
최대 얼마까지 대출이 가능한가요?,최대 2억까지 가능합니다. 
,
,
조만간 재산세를 납부해야하잖아요?,네. 그렇습니다.
재산세 얼마나 나올지 궁금해서요.,구입하신 부동산 자산이 있으신가요?
네. 빌라 구입했어요.,
,
,
,
,지자체 장이 2만원을 넘지 않는 범위에서 조례로 정하고 있습니다.
그럼 외국인도 재산세를 납입하나요?,네 외국인등록을 한 외국인으로서 취득한 자산이 있으면 납부합니다.
세율도 동일하게 적용받나요?,네. 동일하게 적용받습니다.
,
,
,
,
,
,대출만 안되십니다.
혹시 열람실도 이용은요?,회원만 가능하세요.
의왕시 도서관에는 회원가입이 되어있어요.,의왕시 회원증으로는 사용이 안되십니다.
혹시 안산시도서관에 회원가입은 가능할까요?,안산에 있는 학교나 직장을 다니시는 거가요?
아니요. 잠시 들렸습니다.,죄송합니다. 이용이 어렵습니다.
신혼부부를 위한 주택지원사업이 있다는 말을 들었어요. 맞나요?,네. 신혼부부를 위한 보금자리론이 있습니다.
,
주택구입시 대출지원이 가능한가요?,네. 보금자리론이 대출지원 정책입니다.
자세히 좀 알려주세요.,결혼 하신지 얼마나 되셨나요?
2년 됐어요.,두분이 함께 소득이 있으시나요?
"네, 둘다 직장인 입니다.",두분의 소득합산이 8500만원이 넘지 않으시면 신청 가능하세요.
혹시 평수 제한도 있나요?,평수 제한은 있습니다.
,
,
대출은 얼마까지 될까요?,1억에서 3억까지 가능합니다.
,
,
아버지 사망신고 해야 하게 됐어요.,
,
,
신분증만 있으면 될까요?,추가로 몇가지 서류가 필요합니다.
,
,사망진단서는 병원에서 발급해주실 꺼에요.
사망진단서는 병원에서 챙겨주셨어요.,그렇게 챙겨서 오시면 됩니다.
신고 기간이 정해져 있나요?,사망후 30일 이내로 정하고 있습니다.
급하게 하고 싶지 않은데 안되나요?,
,
알바하려는데 보건증이 다 필요하다고 합니다.,
그냥 써빙하는데도 필요한가요?,음식점에서 근무하면 다 필요합니다.
,
,가까운 보건소 알려드리려구요
보건증은 보건소에서 발급해주나요?,네. 그렇습니다
보건증이 업으면 어떻게 되나요?,"사업주, 종사자 모두 처벌대상입니다."
그럼 가게 주인도 처벌받는 건가요?,네. 그렇습니다.
,
,
,
,
서울은 여성 안심택배라는게 있다고 들었는데요,
,혹시살고 계신 지역이 어디신가요?
여기 부천입니다,부천시는 여성안심 무인택배보관함 설치했습니다.
그래요?,
,
,
설치는 어디에 하나요?,"지역주민센터,도서관에 설치중입니다."
거리가 멀면 이용하기가 어렵겠네요.,초기 단계이니 점점 보완해나갈 예정입니다
더 확대 계획은 있나요?,범죄예방과 접촉을 줄이기 위한것으로 확대예정입니다.
집근처 가까운데 설치되면 좋겟어요,
무인 안심택배 이용하고 싶은데요,
,
네. 배송문자 받아요,먼저 택배사를 선택하신후 물품찾기를 선택하십니다.
스마트폰으로요?,무인택배함에 터치 스크린에서 하시는겁니다.
"아, 그렇군요",택배사로부터 받은 인증번호를 입력하시면 됩니다.
보관함 이용금액도 있나요?,48시간까지는 무료입니다.
48시간이 넘을 경우는요?,24시간이 초과될때마다 1000원 입니다.
모든 물건이 다 사용 가능한가요?,냄새나는 생선이나 음식물은 사용불가입니다.
부피가 크거나 무거운 상품은요?,크기가 정해져 있기때문에 이용이 안될수있습니다.
제한적이겠네요.,
가까운 보건소가면 되나요?,네. 주소지와 관계없습니다.
,그리고 건강진단별과서로 명칭변경/바꾸어고침되었습니다.
다들 보건증이라고 하던데요,정확한 명칭 말씀드리는겁니다.
신분증만 가져가면 되나요?,네. 그렇습니다.
어떤 검사 하는건가요?,혈액검사와 대변검사 먼저 진행됩니다.
공복으로 검사해야하나요?,상관없습니다.
,
,
,
보건증땜에 보건소 방문하려고 하는데 가능한가요?,
,
,지역이 어디신가요?
수원입니다.,다른 지역에서도 검사를 받을 수 있으신가요?
네. 급하게 필요해서요,그럼 다른 병원 안내해드릴께요.
,
,
,보건소보다 검사 비용이 비쌀수 있습니다.
얼마나 비싼가요?,해당 병원에 문의 해 보시기 바랍니다.
네. 알겠습니다.,
우리집은 연락을 못 받았어요,인구주책총조사 기간 맞습니다
,
그럼 조사를 하는 사람들은 누군가요?,전체가구의 20프로만 조사합니다.
,
,
,
,
,불편하시더라도 협조부탁드립니다.
전 대상은 아닙니다.,
몇 년에 한번 하는건가요?,5년마다 조사하고 있습니다.
네. 잘 알겠습니다.,
,불편하시더라도 성실히 답변부탁드립니다.
인터넷으로 하면 되나요?,"인터넷,전화,방문조사 가능합니다."
인터넷이 편할거 같아요,
,
,
,방문조사가 힘들면 10월내에 조사에 응하셔야합니다
그래야 겠네요,
,
조사내용이 다른곳에 쓰이느건 아니죠?,순수하게 통계자료로만 쓰이니 걱정하지 않아도 돕니다.
개인정보라 살짝 걱정되기도 하네요,성실한 조사 부탁드립니다.
잘 해보도록 할께요,
조사원에 지원해보고 싶은데요,
,
,
,
,
,
,
,
아뇨. 전업주부입니다.,이중 취업자는 지원할 수 없습니다.
,
시설 이용 문의좀 드릴께요,어떤걸 도와드릴까요?
주민센터 회의실을 이용할 수 있을까요?,공공단체나 사회단체만 이용이 가능십니다.
,
신청하면 이용할 수 있나요?,소속단체장의 승인이 필요합니다.
,
코로나로 단체로 모일 장소가 없어서요.,공공기관 회의실도 코로나로 이용이 안되고 있습니다.
진짜요?,
,코로나 하향단계로 제한적 이용이 가능할 수도 있습니다.
아무래도 그게 빠르겠네요,
,
,
,
,
,
,
,
,
근무시간은 저녁시간이겠죠?,오후10시부터 새벽1시까지입니다.
서류는 어떤걸 준비하나요?,신청서와 가족관계증명서가 필요합니다
,
금연클리닉 프로그램 운영하는곳이 있나요?,보건소에서 운영하고 있습니다.
,
,
학생들만 따로 운영하나요?,학생 프로그램이 따로 있습니다
,
,
거주지역이 어디시죠?,
,햑생 대상 프로그램이 개설되어 있습니다.
지금 바로 참여가능한가요?,분기별로 모집하고 있습니다.
,
,
어떻게 해야 하나요?,주거지 주민센터나 구청에 접수하시면 됩니다.
부모님이신데 장남이 해야하나요?,자녀분들중 한분이시면 됩니다.
제 신분증만 있으면 되나요?,아닙니다.
,
,사망증명서는 병원에서 받아오셔야 합니다.
 서류는 병원에서 받았습니다.,그렇게 준비해서 오시면 됩니다.
신고는 언제까지 해야하나요?,사망후 1개월 이내에 하셔야합니다.
조금 늦게하고 싶은데 안될까요?,
,
,
궁금한게 있어 문의 드립니다.,먼저 축하드립니다.
감사합니다.,혼인신고는 신고서를 제출하는 순간 효력발생합니다.
혼인신고는 언제하나요?,두분이 원하실때 정해서 하시면 됩니다.
늦게할 경우 과태료는 없는건가요?,혼인신고는 과태료가 없습니다
인터넷으로도 신고가능한가요?,방문 접수밖에 안됩니다.
어디에서 신고하나요?,구청에서 하시면 됩니다
